rank_all,frame_idx,nmse_pf_dB,alpha_mag,srs_abs_slot,gt_abs_slot,gap_slots,sto_samples_pf,in_N30,in_N50
1,28,23.926618429552722,0.1151393280732231,19688,19683,5,1.7156266543492698,1,1
2,33,22.964794649821513,0.21639697617053424,20488,20486,2,1.4622443238033866,0,1
3,95,22.768306170174522,0.1306781787931579,30568,30563,5,1.3066191153670454,0,0
4,62,22.760589159649932,0.14574864140125365,25128,25129,-1,0.7725798183140948,0,0
5,92,22.69824719113612,0.18512674123624573,30088,30092,-4,1.001408144977023,0,0
6,96,21.943307091248737,0.11878150830891963,30728,30723,5,1.1267411064552098,0,0
7,90,21.150114381559938,0.08965795957911285,29768,29771,-3,0.860932662237516,0,0
8,10,21.039383458317957,0.219649198093168,16808,16811,-3,-3.99223207929277,1,1
9,9,20.90610463962935,0.2168780633177853,16648,16651,-3,-3.46019205951819,1,1
10,7,20.734575128133347,0.22698446830497318,16328,16330,-2,-3.9373569012252396,1,1
11,91,20.721020110996232,0.12605338770900026,29928,29931,-3,1.0512201811614343,0,0
12,84,20.607395868413114,0.10667003415407829,28648,28648,0,0.7102962474635213,0,0
13,61,20.19090880620182,0.3797660397301299,24968,24969,-1,0.9996907744379444,0,0
14,70,20.180307846402094,0.09114822484402928,26408,26412,-4,1.2005876351135611,0,0
15,27,19.988350691113666,0.09899283738064475,19528,19523,5,0.3334607286607839,1,1
16,65,19.817944983865775,0.09849087170100068,25608,25611,-3,0.7607499286221352,0,0
17,83,19.627981485418115,0.1407780712802252,28488,28488,0,0.9960743840858445,0,0
18,60,19.352545160262107,0.08078910168814352,24808,24808,0,-0.025930462645311483,0,0
19,37,18.827586458608728,0.07265173640567706,21128,21128,0,0.5556239970441817,0,1
20,51,18.518961644607323,0.09034843868506788,23368,23372,-4,2.2159513840459937,0,0
21,56,18.47377391432492,0.07686004244488819,24168,24166,2,0.38371787453082895,0,0
22,94,17.72888954376502,0.5265730502823027,30408,30412,-4,1.999590676226573,0,0
23,48,17.312259665332846,0.07228175986075996,22888,22891,-3,0.7767174072910799,0,1
24,8,17.274913719356555,0.3354411558569285,16488,16490,-2,-2.506771446235898,1,1
25,12,16.795311935451977,0.3493109022824251,17128,17131,-3,-2.6978349136731063,1,1
26,93,16.75912686090664,0.43162204953707123,30248,30252,-4,1.9992324537482038,0,0
27,58,16.65413266881049,0.06591754934068687,24488,24487,1,0.8544632726324894,0,0
28,11,16.309881944952938,0.3663662373857,16968,16971,-3,-3.0000536999302043,1,1
29,85,16.233404469379707,0.07400511569639998,28808,28808,0,1.7428112343937907,0,0
30,63,15.330580458305853,0.14053431372437944,25288,25289,-1,1.225334127238723,0,0
31,64,15.116397462958533,0.1377521234972013,25448,25450,-2,1.4975497951461065,0,0
32,59,14.524712269907669,0.18121869264757462,24648,24647,1,2.7798803193768933,0,0
33,14,7.0540015608279125,0.9764757855335872,17448,17451,-3,-1.9996717659575551,1,1
34,13,7.04400331061823,1.0142973982886365,17288,17291,-3,-1.6064094264661533,1,1
35,6,6.954135752707331,1.0003199160138938,15368,15367,1,-2.0026501854927514,1,1
36,15,6.932364203978258,1.012687234864281,17608,17611,-3,-1.9951870844108686,1,1
37,29,5.163641086305381,0.19158235299209672,19848,19844,4,-1.5229783848886023,1,1
38,97,5.078388706785567,0.27158892023319947,30888,30884,4,0.28483034328241874,0,0
39,39,4.851590967748698,0.3129792635760032,21448,21449,-1,-0.6016630301588304,0,1
40,57,4.716993949516619,0.2751580000489647,24328,24327,1,0.07661293566432542,0,0
41,86,4.667438983408092,0.3025259312159134,28968,28969,-1,-1.0010544535714219,0,0
42,66,4.629765503349313,0.25183176410366126,25768,25772,-4,-0.6747658404272561,0,0
43,38,4.60011280038907,0.3665578592726124,21288,21289,-1,1.0653354715077918,0,1
44,67,4.425397830136264,0.36602863975354283,25928,25932,-4,-0.7494924622295611,0,0
45,44,4.413409482074514,0.3296963952620254,22248,22250,-2,-0.3180853308722997,0,1
46,25,4.38953364732316,0.3017563808999115,19208,19203,5,-1.5054480618608936,1,1
47,47,4.266995469649434,0.39189652344780307,22728,22731,-3,0.7645844005800948,0,1
48,52,4.212041571869832,0.47909789143332177,23528,23523,5,0.3368686935138706,0,0
49,24,4.209808431281138,0.44587278549391374,19048,19043,5,-0.2879075173144778,1,1
50,77,4.1845973314890745,0.39588705724263606,27528,27525,3,-0.023955220032797337,0,0
51,80,3.8264139123721126,0.5178291061767241,28008,28006,2,0.20934682162501211,0,0
52,78,3.6132689473799062,0.5364784279284744,27688,27685,3,-0.2480795802555669,0,0
53,26,3.5663660199039873,0.5941013423081322,19368,19363,5,-0.4521784406032517,1,1
54,43,3.5426849438990176,0.7002081495320222,22088,22090,-2,-0.6814567084003801,0,1
55,99,3.4461600575328672,0.8139790803239749,31368,31365,3,-0.12993504956804636,0,0
56,30,3.3602028171315195,0.6494071410801017,20008,20005,3,-0.1626101091057868,0,1
57,81,3.3551897309422523,0.6969412123500105,28168,28167,1,0.08703222505643299,0,0
58,46,3.2845838293865426,0.6379281094071534,22568,22571,-3,0.43726830011951134,0,1
59,50,2.9640660178386753,0.8928518185700627,23208,23212,-4,0.2943468147882073,0,0
60,36,2.8540378669706223,1.1567572946672569,20968,20968,0,0.6371538229602275,0,1
61,68,2.836814367465226,1.1814095577677315,26088,26092,-4,-0.24844143452011835,0,0
62,32,2.788456623120762,1.1045707551112733,20328,20326,2,-0.0046274030199858675,0,1
63,49,2.7712283909928126,1.215229994961786,23048,23052,-4,0.5902445216653558,0,1
64,79,2.6847013554816397,1.0722744792782584,27848,27846,2,-0.0001480757330586092,0,0
65,3,2.6723577370008695,1.465277576337329,14888,14885,3,0.10250988886547223,1,1
66,23,2.6409469370084753,1.50980270787753,18888,18892,-4,-0.0008493201905444474,1,1
67,55,2.6171175913047913,2.590442781206894,24008,24006,2,-5.285646533428411e-05,0,0
68,69,2.4328003233933932,1.5995153555264046,26248,26252,-4,0.005640359041069541,0,0
69,88,2.4284026857432504,2.0167422921647282,29288,29290,-2,-0.0010181280721998623,0,0
70,71,-2.6709123476377847,0.34277165200214843,26568,26564,4,-0.7582718408667045,0,0
71,35,-3.196115761981895,0.58350491675133,20808,20808,0,-1.106899380193222,0,1
72,21,-3.4156884763200153,0.5977985120582459,18568,18572,-4,-0.1551770536538606,1,1
73,89,-3.674273432181682,0.45409553478669357,29448,29451,-3,-2.112591964806851,0,0
74,98,-3.8450577568759075,0.4489819858927405,31208,31205,3,-1.6313824978624232,0,0
75,18,-3.8805521127333664,0.747956726486271,18088,18092,-4,0.23906725852865834,1,1
76,41,-4.034930480339581,0.7841524390173588,21768,21770,-2,-0.2515958003340726,0,1
77,53,-4.060892729388313,0.6583803532976578,23688,23685,3,-1.2522769919021275,0,0
78,73,-4.3481978482573655,0.6076712402875306,26888,26884,4,-1.5298675654261777,0,0
79,22,-4.652283818917225,0.935930761537595,18728,18732,-4,-0.16911999649347073,1,1
